"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050792","GO:0050792","regulation of viral process","13/86","165/18614",6.43631379942255e-13,1.10177989857388e-10,8.69672256917191e-11,"ISG15/LY6E/BST2/MX1/IFITM3/RSAD2/IFIT1/OAS1/LAMP3/OASL/OAS2/AXL/OAS3",13
"GO:0071357","GO:0071357","cellular response to type I interferon","10/86","77/18614",2.20498760678177e-12,3.45999305297505e-10,2.73108991296127e-10,"ISG15/IRF7/TREX1/IFITM3/IFI27/IFIT1/OAS1/USP18/OAS2/OAS3",10
"GO:0045069","GO:0045069","regulation of viral genome replication","10/86","86/18614",6.8826266114167e-12,9.96921993022895e-10,7.86904354276954e-10,"ISG15/BST2/MX1/IFITM3/RSAD2/IFIT1/OAS1/OASL/OAS2/OAS3",10
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","18/86","492/18614",8.45841717502903e-12,1.1376571100414e-09,8.97991357228646e-10,"ISG15/IRF7/TREX1/MX1/IFITM3/IFI27/OAS1/USP18/OASL/PLVAP/OAS2/CCL8/AXL/OAS3/CCL2/CXCL11/CXCL10/EGR1",18
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","9/86","76/18614",6.91445324768133e-11,8.6799436435893e-09,6.85137402507091e-09,"ISG15/IRF7/TREX1/IFITM3/IFI27/OAS1/USP18/OAS2/OAS3",9
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","9/86","100/18614",8.44074803607377e-10,9.93370534495432e-08,7.8410106756159e-08,"ISG15/IRF7/TREX1/IFITM3/IFI27/OAS1/USP18/OAS2/OAS3",9
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","15/86","463/18614",2.97868981016658e-09,3.29933700737863e-07,2.60427864517351e-07,"ISG15/IRF7/IFI35/DHX58/TREX1/SERPING1/HERC5/RSAD2/OAS1/USP18/OASL/LAG3/OAS3/IL4I1/DDX60",15
"GO:0070106","GO:0070106","interleukin-27-mediated signaling pathway","4/86","7/18614",1.47069857948634e-08,1.53851412509598e-06,1.21440140013725e-06,"MX1/OAS1/OASL/OAS2",4
"GO:0045088","GO:0045088","regulation of innate immune response","13/86","373/18614",1.5851197494447e-08,1.57093709905493e-06,1.23999395358222e-06,"ISG15/IRF7/IFI35/DHX58/TREX1/SERPING1/RSAD2/OAS1/USP18/OASL/LAG3/OAS3/DDX60",13
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/86","20/18614",2.7472886626122e-08,2.58657227584938e-06,2.04166925874127e-06,"ISG15/TREX1/OAS1/USP18/OAS3",5
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","6/86","42/18614",3.74116125736829e-08,3.3545745941069e-06,2.64787954656844e-06,"ISG15/IRF7/TREX1/OAS1/USP18/OAS3",6
"GO:0060700","GO:0060700","regulation of ribonuclease activity","4/86","9/18614",5.25726787271215e-08,4.49974336559863e-06,3.55180011304764e-06,"OAS1/OASL/OAS2/OAS3",4
"GO:0045824","GO:0045824","negative regulation of innate immune response","7/86","78/18614",7.10359191391e-08,5.81567981473588e-06,4.59051340157479e-06,"ISG15/DHX58/TREX1/SERPING1/OAS1/USP18/OAS3",7
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","8/86","125/18614",1.12978258393389e-07,8.59024306062817e-06,6.78057031143303e-06,"ISG15/DHX58/TREX1/SERPING1/OAS1/USP18/OAS3/IL4I1",8
"GO:0140374","GO:0140374","antiviral innate immune response","5/86","26/18614",1.14049960974883e-07,8.59024306062817e-06,6.78057031143303e-06,"DHX58/MX1/IFIT1/OAS1/CXCL10",5
"GO:0039530","GO:0039530","MDA-5 signaling pathway","4/86","11/18614",1.36721894495376e-07,9.90182028210739e-06,7.81584271366277e-06,"IRF7/DHX58/OAS3/DDX60",4
"GO:0002753","GO:0002753","cytosolic pattern recognition receptor signaling pathway","7/86","95/18614",2.78918332711404e-07,1.94519711294657e-05,1.53541008104679e-05,"IRF7/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",7
"GO:0035456","GO:0035456","response to interferon-beta","5/86","32/18614",3.41627742156384e-07,2.29744656600169e-05,1.81345252603314e-05,"BST2/TREX1/IFITM3/OAS1/XAF1",5
"GO:0032481","GO:0032481","positive regulation of type I interferon production","6/86","62/18614",4.07258481008731e-07,2.64437144737738e-05,2.08729210593223e-05,"ISG15/IRF7/DHX58/OAS1/OAS2/OAS3",6
"GO:0032479","GO:0032479","regulation of type I interferon production","7/86","104/18614",5.18567159605248e-07,3.14987729527962e-05,2.48630502330258e-05,"ISG15/IRF7/DHX58/TREX1/OAS1/OAS2/OAS3",7
"GO:0032606","GO:0032606","type I interferon production","7/86","104/18614",5.18567159605248e-07,3.14987729527962e-05,2.48630502330258e-05,"ISG15/IRF7/DHX58/TREX1/OAS1/OAS2/OAS3",7
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","5/86","38/18614",8.33194800105835e-07,4.90283065187277e-05,3.8699705847021e-05,"ISG15/IRF7/OAS1/OAS2/OAS3",5
"GO:0035455","GO:0035455","response to interferon-alpha","4/86","18/18614",1.23686288578096e-06,7.0576145876532e-05,5.57081465621283e-05,"BST2/IFITM3/LAMP3/AXL",4
"GO:0062208","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","5/86","45/18614",1.97722071677353e-06,0.000109503135578958,8.64345403122053e-05,"IFI35/DHX58/RSAD2/OASL/DDX60",5
"GO:0002443","GO:0002443","leukocyte mediated immunity","11/86","401/18614",2.32451739216421e-06,0.000124125215148033,9.79762438376737e-05,"IRF7/BST2/TREX1/SERPING1/RSAD2/LAG3/IL4I1/GZMM/PTGDS/C4A/HLA-DRB4",11
"GO:0002683","GO:0002683","negative regulation of immune system process","12/86","487/18614",2.37307899380201e-06,0.000124125215148033,9.79762438376737e-05,"ISG15/BST2/DHX58/TREX1/SERPING1/OAS1/USP18/LAG3/AXL/OAS3/IL4I1/CCL2",12
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","8/86","189/18614",2.6286890027764e-06,0.000133778956546702,0.000105596269471416,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0050777","GO:0050777","negative regulation of immune response","8/86","191/18614",2.84290275885882e-06,0.000140758848117271,0.000111105734713132,"ISG15/DHX58/TREX1/SERPING1/OAS1/USP18/OAS3/IL4I1",8
"GO:0032069","GO:0032069","regulation of nuclease activity","4/86","22/18614",2.91534523450535e-06,0.000140758848117271,0.000111105734713132,"OAS1/OASL/OAS2/OAS3",4
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","8/86","209/18614",5.53498336625876e-06,0.000260559341966631,0.000205668329293615,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0032608","GO:0032608","interferon-beta production","5/86","56/18614",5.94017507439555e-06,0.000266317849168734,0.000210213714412193,"ISG15/IRF7/OAS1/OAS2/OAS3",5
"GO:0032648","GO:0032648","regulation of interferon-beta production","5/86","56/18614",5.94017507439555e-06,0.000266317849168734,0.000210213714412193,"ISG15/IRF7/OAS1/OAS2/OAS3",5
"GO:0039529","GO:0039529","RIG-I signaling pathway","4/86","27/18614",6.87227969759841e-06,0.000300941922571577,0.000237543670330697,"DHX58/OASL/OAS3/DDX60",4
"GO:0002449","GO:0002449","lymphocyte mediated immunity","9/86","300/18614",1.00969500968282e-05,0.000415258678656184,0.000327777764632324,"IRF7/TREX1/SERPING1/RSAD2/LAG3/IL4I1/GZMM/C4A/HLA-DRB4",9
"GO:0045089","GO:0045089","positive regulation of innate immune response","9/86","300/18614",1.00969500968282e-05,0.000415258678656184,0.000327777764632324,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/LAG3/OAS3/DDX60",9
"GO:0062207","GO:0062207","regulation of pattern recognition receptor signaling pathway","6/86","107/18614",1.01443968232525e-05,0.000415258678656184,0.000327777764632324,"IRF7/IFI35/DHX58/RSAD2/OASL/DDX60",6
"GO:0002697","GO:0002697","regulation of immune effector process","10/86","384/18614",1.09061551845145e-05,0.000434272783722604,0.0003427862429026,"BST2/DHX58/TREX1/SERPING1/RSAD2/LAG3/AXL/EPHB2/IL4I1/DDX60",10
"GO:1900246","GO:1900246","positive regulation of RIG-I signaling pathway","3/86","10/18614",1.11621767132249e-05,0.000434272783722604,0.0003427862429026,"DHX58/OASL/DDX60",3
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","7/86","165/18614",1.13007787585808e-05,0.000434272783722604,0.0003427862429026,"ISG15/IRF7/TREX1/OAS1/USP18/AXL/OAS3",7
"GO:0002218","GO:0002218","activation of innate immune response","8/86","233/18614",1.22470952499403e-05,0.000461225607112752,0.000364061020903489,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/86","311/18614",1.34572762608074e-05,0.000496863749001966,0.000392191415485243,"IRF7/TREX1/SERPING1/RSAD2/EPHB2/IL4I1/GZMM/C4A/HLA-DRB4",9
"GO:0002253","GO:0002253","activation of immune response","11/86","495/18614",1.70384477601046e-05,0.000616988406389942,0.0004870098833455,"IRF7/IFI35/DHX58/TREX1/SERPING1/RSAD2/OAS1/OASL/OAS3/DDX60/C4A",11
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","7/86","177/18614",1.78250809299123e-05,0.00063329485643443,0.000499881117637262,"ISG15/IRF7/TREX1/OAS1/USP18/AXL/OAS3",7
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","9/86","327/18614",2.00246044892516e-05,0.000698265375060383,0.000551164552413708,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/LAG3/OAS3/DDX60",9
"GO:0032640","GO:0032640","tumor necrosis factor production","7/86","185/18614",2.37032633875611e-05,0.000797022231406741,0.000629116689910455,"TREX1/OAS1/OAS2/AXL/EPHB2/OAS3/HSPB1",7
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","7/86","185/18614",2.37032633875611e-05,0.000797022231406741,0.000629116689910455,"TREX1/OAS1/OAS2/AXL/EPHB2/OAS3/HSPB1",7
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","7/86","190/18614",2.81287665840506e-05,0.000913214956513228,0.000720831550211967,"TREX1/OAS1/OAS2/AXL/EPHB2/OAS3/HSPB1",7
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","7/86","190/18614",2.81287665840506e-05,0.000913214956513228,0.000720831550211967,"TREX1/OAS1/OAS2/AXL/EPHB2/OAS3/HSPB1",7
"GO:0031349","GO:0031349","positive regulation of defense response","10/86","441/18614",3.57120632672947e-05,0.00113975957851383,0.000899650906929886,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/LAG3/OAS3/DDX60/LGALS2",10
"GO:0001960","GO:0001960","negative regulation of cytokine-mediated signaling pathway","5/86","87/18614",5.13622908299781e-05,0.00161191989388081,0.00127234306406893,"ISG15/TREX1/OAS1/USP18/OAS3",5
"GO:0043277","GO:0043277","apoptotic cell clearance","4/86","47/18614",6.50978180200786e-05,0.00200949493986571,0.00158616253743488,"TREX1/AXL/CCL2/C4A",4
"GO:0060761","GO:0060761","negative regulation of response to cytokine stimulus","5/86","92/18614",6.71344076740081e-05,0.00203893692984125,0.00160940209907809,"ISG15/TREX1/OAS1/USP18/OAS3",5
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","8/86","299/18614",7.23406847613384e-05,0.00216218268897778,0.00170668415844628,"IRF7/DHX58/PML/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0001819","GO:0001819","positive regulation of cytokine production","10/86","489/18614",8.47046812331091e-05,0.00249217054315538,0.00196715476811102,"ISG15/IRF7/DHX58/RSAD2/OAS1/OAS2/EPHB2/OAS3/HSPB1/EGR1",10
"GO:0039535","GO:0039535","regulation of RIG-I signaling pathway","3/86","20/18614",0.000102553948978182,0.00297090901424486,0.00234503928675615,"DHX58/OASL/DDX60",3
"GO:0039531","GO:0039531","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","4/86","54/18614",0.000112617522489578,0.00321301204314964,0.00253613942193437,"DHX58/RSAD2/OASL/DDX60",4
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","5/86","105/18614",0.000125772446784944,0.00343397280397265,0.00271055124756653,"OAS1/OAS2/EPHB2/OAS3/HSPB1",5
"GO:0071659","GO:0071659","negative regulation of IP-10 production","2/86","4/18614",0.000125833310395174,0.00343397280397265,0.00271055124756653,"OAS1/OAS3",2
"GO:1900245","GO:1900245","positive regulation of MDA-5 signaling pathway","2/86","4/18614",0.000125833310395174,0.00343397280397265,0.00271055124756653,"DHX58/DDX60",2
"GO:0010332","GO:0010332","response to gamma radiation","4/86","57/18614",0.000139189463691471,0.00374419657330057,0.00295542139447154,"PML/TREX1/CXCL10/EGR1",4
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","5/86","109/18614",0.000149989562861839,0.00397789220942033,0.00313988528926489,"OAS1/OAS2/EPHB2/OAS3/HSPB1",5
"GO:0071504","GO:0071504","cellular response to heparin","2/86","5/18614",0.000209091594957866,0.00532053342304949,0.00419967755448801,"EGR1/AOC1",2
"GO:0071612","GO:0071612","IP-10 production","2/86","5/18614",0.000209091594957866,0.00532053342304949,0.00419967755448801,"OAS1/OAS3",2
"GO:0071658","GO:0071658","regulation of IP-10 production","2/86","5/18614",0.000209091594957866,0.00532053342304949,0.00419967755448801,"OAS1/OAS3",2
"GO:0048247","GO:0048247","lymphocyte chemotaxis","4/86","64/18614",0.000218453076999743,0.0054846285865402,0.0043292034347177,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:1903901","GO:1903901","negative regulation of viral life cycle","3/86","26/18614",0.000229256513517662,0.00568013177570734,0.00448352073527616,"LY6E/BST2/IFITM3",3
"GO:0032020","GO:0032020","ISG15-protein conjugation","2/86","6/18614",0.000312694671528603,0.00735918903116247,0.00580885759678084,"ISG15/HERC5",2
"GO:0032197","GO:0032197","transposition, RNA-mediated","2/86","6/18614",0.000312694671528603,0.00735918903116247,0.00580885759678084,"TREX1/MOV10",2
"GO:1904783","GO:1904783","positive regulation of NMDA glutamate receptor activity","2/86","6/18614",0.000312694671528603,0.00735918903116247,0.00580885759678084,"EPHB2/CCL2",2
"GO:2000342","GO:2000342","negative regulation of chemokine (C-X-C motif) ligand 2 production","2/86","6/18614",0.000312694671528603,0.00735918903116247,0.00580885759678084,"OAS1/OAS3",2
"GO:0001818","GO:0001818","negative regulation of cytokine production","8/86","371/18614",0.000316566283337313,0.00735918903116247,0.00580885759678084,"BST2/DHX58/PML/OAS1/LAG3/AXL/EPHB2/OAS3",8
"GO:0031348","GO:0031348","negative regulation of defense response","7/86","284/18614",0.000343533791007862,0.00788870888375372,0.00622682558283828,"ISG15/DHX58/TREX1/SERPING1/OAS1/USP18/OAS3",7
"GO:0039533","GO:0039533","regulation of MDA-5 signaling pathway","2/86","7/18614",0.000436457142964307,0.00978391428811655,0.00772277551210027,"DHX58/DDX60",2
"GO:0071503","GO:0071503","response to heparin","2/86","7/18614",0.000436457142964307,0.00978391428811655,0.00772277551210027,"EGR1/AOC1",2
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","5/86","145/18614",0.000561739074072936,0.0124441726644628,0.00982260771010509,"IRF7/TREX1/SERPING1/C4A/HLA-DRB4",5
"GO:2000427","GO:2000427","positive regulation of apoptotic cell clearance","2/86","8/18614",0.000580194856448702,0.0127035687754989,0.0100273578617573,"CCL2/C4A",2
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","6/86","224/18614",0.000599133113762811,0.0129674442898319,0.0102356437584161,"CMPK2/AXL/EPHB2/CCL2/CXCL11/CXCL10",6
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","7/86","313/18614",0.000613701069507908,0.0130434455226872,0.0102956341102017,"LY6E/SIGLEC1/IFITM3/IFI27/IFIT1/CCL8/AXL",7
"GO:0019724","GO:0019724","B cell mediated immunity","5/86","148/18614",0.000616498487264557,0.0130434455226872,0.0102956341102017,"IRF7/TREX1/SERPING1/C4A/HLA-DRB4",5
"GO:0002757","GO:0002757","immune response-activating signaling pathway","8/86","423/18614",0.000751916894593511,0.0157317723613287,0.0124176216978484,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","6/86","237/18614",0.000804416869699481,0.0166452413807046,0.0131386537884982,"CMPK2/AXL/EPHB2/CCL2/CXCL11/CXCL10",6
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","4/86","91/18614",0.000835973593867025,0.0171101986657783,0.0135056603494307,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/86","41/18614",0.000894129151570216,0.0181037117463088,0.0142898739334142,"P2RY6/CXCL11/CXCL10",3
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","2/86","10/18614",0.000926865576033067,0.0185668923369177,0.0146554780891231,"CCL2/C4A",2
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","8/86","446/18614",0.00105790441162072,0.0207974032050063,0.0164160959976906,"ISG15/DHX58/TREX1/SERPING1/OAS1/USP18/OAS3/CCL2",8
"GO:0006959","GO:0006959","humoral immune response","6/86","250/18614",0.0010603030842701,0.0207974032050063,0.0164160959976906,"SERPING1/CCL2/GNLY/CXCL11/CXCL10/C4A",6
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","8/86","450/18614",0.00112007818953906,0.0215597248547971,0.0170178223411541,"IRF7/IFI35/DHX58/RSAD2/OAS1/OASL/OAS3/DDX60",8
"GO:0070213","GO:0070213","protein auto-ADP-ribosylation","2/86","11/18614",0.00112943643242481,0.0215597248547971,0.0170178223411541,"PARP12/PARP10",2
"GO:1990868","GO:1990868","response to chemokine","4/86","99/18614",0.0011449668005734,0.0215597248547971,0.0170178223411541,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:1990869","GO:1990869","cellular response to chemokine","4/86","99/18614",0.0011449668005734,0.0215597248547971,0.0170178223411541,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0034767","GO:0034767","positive regulation of monoatomic ion transmembrane transport","5/86","175/18614",0.00130693896847616,0.0243660007687189,0.0192329111358868,"EPHB2/P2RY6/CCL2/CXCL11/CXCL10",5
"GO:0071216","GO:0071216","cellular response to biotic stimulus","6/86","264/18614",0.00140148723039022,0.0258725534786744,0.020422084306615,"CMPK2/AXL/EPHB2/CCL2/CXCL11/CXCL10",6
"GO:0030593","GO:0030593","neutrophil chemotaxis","4/86","107/18614",0.00152638840702341,0.0279047511691755,0.0220261668954221,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0051489","GO:0051489","regulation of filopodium assembly","3/86","51/18614",0.00168963218376809,0.0305920904041856,0.0241473749340135,"AGRN/EPHB2/DAAM2",3
"GO:0002700","GO:0002700","regulation of production of molecular mediator of immune response","5/86","189/18614",0.00183404600212693,0.0328905583048097,0.0259616336341176,"BST2/TREX1/RSAD2/AXL/EPHB2",5
"GO:0006878","GO:0006878","intracellular copper ion homeostasis","2/86","14/18614",0.00185194361074533,0.0328982058399383,0.0259676700930726,"MT2A/SCO2",2
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","2/86","15/18614",0.00213045473530038,0.0374920211829029,0.0295937244096816,"OAS1/OAS3",2
"GO:0002698","GO:0002698","negative regulation of immune effector process","4/86","122/18614",0.00246548674035338,0.0425918489182149,0.0336191914763784,"BST2/SERPING1/AXL/IL4I1",4
"GO:0072676","GO:0072676","lymphocyte migration","4/86","122/18614",0.00246548674035338,0.0425918489182149,0.0336191914763784,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0051701","GO:0051701","biological process involved in interaction with host","5/86","206/18614",0.00266614354737097,0.0456395299972685,0.036024829558735,"LY6E/SIGLEC1/IFITM3/IFIT1/AXL",5
"GO:0002456","GO:0002456","T cell mediated immunity","4/86","125/18614",0.00269206875385317,0.0456681573288785,0.0360474260828893,"TREX1/RSAD2/IL4I1/GZMM",4
"GO:0055070","GO:0055070","copper ion homeostasis","2/86","17/18614",0.00274294154020336,0.046115704644669,0.0364006903643528,"MT2A/SCO2",2
"GO:1990266","GO:1990266","neutrophil migration","4/86","128/18614",0.00293255160926547,0.0488672095597069,0.0385725465513073,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0051928","GO:0051928","positive regulation of calcium ion transport","4/86","129/18614",0.00301587289953232,0.0498148128931523,0.0393205220142164,"P2RY6/CCL2/CXCL11/CXCL10",4
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","2/86","18/18614",0.00307657183606483,0.0499412479940524,0.0394203215292517,"OAS1/OAS3",2
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","2/86","18/18614",0.00307657183606483,0.0499412479940524,0.0394203215292517,"OAS1/OAS3",2
