"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa04610","hsa04610","Complement and coagulation cascades","2/48","86/8644",0.0822557922801246,0.416453191533823,0.372422043663223,"SERPING1/C4A",2,0.0232558139534884,4.18798449612403
"hsa05202","hsa05202","Transcriptional misregulation in cancer","3/48","193/8644",0.0913566105525155,0.416453191533823,0.372422043663223,"PML/ETV7/JUP",3,0.0155440414507772,2.79922279792746
"hsa05323","hsa05323","Rheumatoid arthritis","2/48","93/8644",0.0939874558649065,0.416453191533823,0.372422043663223,"CCL2/HLA-DRB4",2,0.021505376344086,3.87275985663082
"hsa00061","hsa00061","Fatty acid biosynthesis","1/48","18/8644",0.0954622587972489,0.416453191533823,0.372422043663223,"OLAH",1,0.0555555555555556,10.0046296296296
"hsa04657","hsa04657","IL-17 signaling pathway","2/48","94/8644",0.0957016750302632,0.416453191533823,0.372422043663223,"CCL2/CXCL10",2,0.0212765957446809,3.83156028368794
"hsa05150","hsa05150","Staphylococcus aureus infection","2/48","96/8644",0.0991572964007402,0.416453191533823,0.372422043663223,"C4A/HLA-DRB4",2,0.0208333333333333,3.75173611111111
"hsa04640","hsa04640","Hematopoietic cell lineage","2/48","99/8644",0.104406474408897,0.416453191533823,0.372422043663223,"CD7/HLA-DRB4",2,0.0202020202020202,3.63804713804714
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","2/48","100/8644",0.106173151957322,0.416453191533823,0.372422043663223,"EGR1/CCL2",2,0.02,3.60166666666667
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","1/48","21/8644",0.110480217282065,0.416453191533823,0.372422043663223,"CHST13",1,0.0476190476190476,8.57539682539682
"hsa05165","hsa05165","Human papillomavirus infection","4/48","331/8644",0.110562794212519,0.416453191533823,0.372422043663223,"ISG15/MX1/HES4/OASL",4,0.0120845921450151,2.17623363544814
"hsa04668","hsa04668","TNF signaling pathway","2/48","114/8644",0.131709089351746,0.480100874088622,0.429340325221311,"CCL2/CXCL10",2,0.0175438596491228,3.1593567251462
"hsa05310","hsa05310","Asthma","1/48","31/8644",0.158797913328252,0.55059145275877,0.492378010850879,"HLA-DRB4",1,0.032258064516129,5.80913978494624
"hsa00052","hsa00052","Galactose metabolism","1/48","32/8644",0.1634859082383,0.55059145275877,0.492378010850879,"MGAM2",1,0.03125,5.62760416666667
"hsa05322","hsa05322","Systemic lupus erythematosus","2/48","137/8644",0.176229451438257,0.55059145275877,0.492378010850879,"C4A/HLA-DRB4",2,0.0145985401459854,2.62895377128954
"hsa00500","hsa00500","Starch and sucrose metabolism","1/48","36/8644",0.181983403671692,0.55059145275877,0.492378010850879,"MGAM2",1,0.0277777777777778,5.00231481481481
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","1/48","36/8644",0.181983403671692,0.55059145275877,0.492378010850879,"GALNT4",1,0.0277777777777778,5.00231481481481
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/48","37/8644",0.186544834506237,0.55059145275877,0.492378010850879,"IL4I1",1,0.027027027027027,4.86711711711712
"hsa05330","hsa05330","Allograft rejection","1/48","38/8644",0.191081356865212,0.55059145275877,0.492378010850879,"HLA-DRB4",1,0.0263157894736842,4.7390350877193
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/48","40/8644",0.20008020801418,0.55059145275877,0.492378010850879,"MAOA",1,0.025,4.50208333333333
"hsa05219","hsa05219","Bladder cancer","1/48","41/8644",0.20454280099597,0.55059145275877,0.492378010850879,"UPK3A",1,0.024390243902439,4.39227642276423
"hsa05332","hsa05332","Graft-versus-host disease","1/48","42/8644",0.208981013892889,0.55059145275877,0.492378010850879,"HLA-DRB4",1,0.0238095238095238,4.28769841269841
"hsa04940","hsa04940","Type I diabetes mellitus","1/48","43/8644",0.213394977079722,0.55059145275877,0.492378010850879,"HLA-DRB4",1,0.0232558139534884,4.18798449612403
"hsa04148","hsa04148","Efferocytosis","2/48","156/8644",0.214586139435733,0.55059145275877,0.492378010850879,"AXL/P2RY6",2,0.0128205128205128,2.30876068376068
"hsa04514","hsa04514","Cell adhesion molecules","2/48","158/8644",0.21867691631752,0.55059145275877,0.492378010850879,"SIGLEC1/HLA-DRB4",2,0.0126582278481013,2.2795358649789
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","1/48","47/8644",0.230810916421073,0.55059145275877,0.492378010850879,"GALNT4",1,0.0212765957446809,3.83156028368794
"hsa04973","hsa04973","Carbohydrate digestion and absorption","1/48","47/8644",0.230810916421073,0.55059145275877,0.492378010850879,"MGAM2",1,0.0212765957446809,3.83156028368794
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","1/48","48/8644",0.235105562927039,0.55059145275877,0.492378010850879,"IL4I1",1,0.0208333333333333,3.75173611111111
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/48","49/8644",0.239376727768768,0.55059145275877,0.492378010850879,"HLA-DRB4",1,0.0204081632653061,3.67517006802721
"hsa05030","hsa05030","Cocaine addiction","1/48","49/8644",0.239376727768768,0.55059145275877,0.492378010850879,"MAOA",1,0.0204081632653061,3.67517006802721
"hsa05144","hsa05144","Malaria","1/48","50/8644",0.243624536618925,0.55059145275877,0.492378010850879,"CCL2",1,0.02,3.60166666666667
"hsa00270","hsa00270","Cysteine and methionine metabolism","1/48","52/8644",0.252050585748309,0.556805487939566,0.497935042777814,"IL4I1",1,0.0192307692307692,3.46314102564103
"hsa05320","hsa05320","Autoimmune thyroid disease","1/48","53/8644",0.256229074096084,0.556805487939566,0.497935042777814,"HLA-DRB4",1,0.0188679245283019,3.39779874213836
"hsa00240","hsa00240","Pyrimidine metabolism","1/48","58/8644",0.276781056836277,0.582846390454435,0.521222668687711,"CMPK2",1,0.0172413793103448,3.10488505747126
"hsa04370","hsa04370","VEGF signaling pathway","1/48","59/8644",0.280824209558367,0.582846390454435,0.521222668687711,"HSPB1",1,0.0169491525423729,3.05225988700565
"hsa04978","hsa04978","Mineral absorption","1/48","60/8644",0.284845227373299,0.582846390454435,0.521222668687711,"MT2A",1,0.0166666666666667,3.00138888888889
"hsa00590","hsa00590","Arachidonic acid metabolism","1/48","61/8644",0.288844228897773,0.582846390454435,0.521222668687711,"PTGDS",1,0.0163934426229508,2.95218579234973
"hsa05321","hsa05321","Inflammatory bowel disease","1/48","65/8644",0.304622422725433,0.603900592420596,0.540050832532624,"HLA-DRB4",1,0.0153846153846154,2.77051282051282
"hsa05416","hsa05416","Viral myocarditis","1/48","67/8644",0.312382460521266,0.608607207567294,0.544259822323803,"HLA-DRB4",1,0.0149253731343284,2.68781094527363
"hsa05031","hsa05031","Amphetamine addiction","1/48","69/8644",0.320057684880049,0.609943444749963,0.545454780586832,"MAOA",1,0.0144927536231884,2.60990338164251
"hsa05230","hsa05230","Central carbon metabolism in cancer","1/48","70/8644",0.323863775973432,0.609943444749963,0.545454780586832,"SCO2",1,0.0142857142857143,2.57261904761905
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","1/48","72/8644",0.331413478687711,0.611557773190627,0.546898427818353,"MAOA",1,0.0138888888888889,2.50115740740741
"hsa05417","hsa05417","Lipid and atherosclerosis","2/48","215/8644",0.336208596140022,0.611557773190627,0.546898427818353,"IRF7/CCL2",2,0.00930232558139535,1.67519379844961
"hsa05140","hsa05140","Leishmaniasis","1/48","77/8644",0.349928455180853,0.611557773190627,0.546898427818353,"HLA-DRB4",1,0.012987012987013,2.33874458874459
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","2/48","222/8644",0.350468333491879,0.611557773190627,0.546898427818353,"EGR1/HLA-DRB4",2,0.00900900900900901,1.62237237237237
"hsa04612","hsa04612","Antigen processing and presentation","1/48","78/8644",0.353570737677797,0.611557773190627,0.546898427818353,"HLA-DRB4",1,0.0128205128205128,2.30876068376068
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/48","79/8644",0.357193035668862,0.611557773190627,0.546898427818353,"AXL",1,0.0126582278481013,2.2795358649789
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/48","84/8644",0.375008494931429,0.628999743850955,0.562496277686928,"JUP",1,0.0119047619047619,2.14384920634921
"hsa01232","hsa01232","Nucleotide metabolism","1/48","85/8644",0.378513120193495,0.628999743850955,0.562496277686928,"CMPK2",1,0.0117647058823529,2.11862745098039
"hsa04512","hsa04512","ECM-receptor interaction","1/48","89/8644",0.392340203619906,0.633349185843563,0.566385857857308,"AGRN",1,0.0112359550561798,2.02340823970037
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/48","89/8644",0.392340203619906,0.633349185843563,0.566385857857308,"BATF2",1,0.0112359550561798,2.02340823970037
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","1/48","92/8644",0.40251239378136,0.636984022303077,0.569636386968751,"HLA-DRB4",1,0.0108695652173913,1.95742753623188
"hsa04912","hsa04912","GnRH signaling pathway","1/48","93/8644",0.405865925715235,0.636984022303077,0.569636386968751,"EGR1",1,0.010752688172043,1.93637992831541
"hsa05142","hsa05142","Chagas disease","1/48","102/8644",0.43523004354502,0.657734761302026,0.588193172659474,"CCL2",1,0.00980392156862745,1.76552287581699
"hsa05146","hsa05146","Amoebiasis","1/48","102/8644",0.43523004354502,0.657734761302026,0.588193172659474,"HSPB1",1,0.00980392156862745,1.76552287581699
"hsa05012","hsa05012","Parkinson disease","2/48","266/8644",0.437416046975086,0.657734761302026,0.588193172659474,"MAOA/NDUFC2-KCTD14",2,0.0075187969924812,1.35401002506266
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","1/48","106/8644",0.447820066881184,0.657734761302026,0.588193172659474,"EGR1",1,0.00943396226415094,1.69889937106918
"hsa05020","hsa05020","Prion disease","2/48","272/8644",0.448824678916471,0.657734761302026,0.588193172659474,"EGR1/NDUFC2-KCTD14",2,0.00735294117647059,1.32414215686274
"hsa04659","hsa04659","Th17 cell differentiation","1/48","108/8644",0.454011605146531,0.657734761302026,0.588193172659474,"HLA-DRB4",1,0.00925925925925926,1.66743827160494
"hsa05145","hsa05145","Toxoplasmosis","1/48","111/8644",0.463171651336197,0.662511349379623,0.592464737218853,"HLA-DRB4",1,0.00900900900900901,1.62237237237237
"hsa04726","hsa04726","Serotonergic synapse","1/48","115/8644",0.475151309535488,0.671151224718877,0.600191127834301,"MAOA",1,0.00869565217391304,1.56594202898551
"hsa04142","hsa04142","Lysosome","1/48","132/8644",0.523210148562631,0.698954841067812,0.625055097741127,"LAMP3",1,0.00757575757575758,1.36426767676768
"hsa04728","hsa04728","Dopaminergic synapse","1/48","132/8644",0.523210148562631,0.698954841067812,0.625055097741127,"MAOA",1,0.00757575757575758,1.36426767676768
"hsa00190","hsa00190","Oxidative phosphorylation","1/48","134/8644",0.528572630195081,0.698954841067812,0.625055097741127,"NDUFC2-KCTD14",1,0.00746268656716418,1.34390547263682
"hsa05135","hsa05135","Yersinia infection","1/48","137/8644",0.536505796699099,0.698954841067812,0.625055097741127,"CCL2",1,0.0072992700729927,1.31447688564477
"hsa04371","hsa04371","Apelin signaling pathway","1/48","139/8644",0.541721796872674,0.698954841067812,0.625055097741127,"EGR1",1,0.00719424460431655,1.29556354916067
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","1/48","139/8644",0.541721796872674,0.698954841067812,0.625055097741127,"CCL2",1,0.00719424460431655,1.29556354916067
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","1/48","142/8644",0.549438198202527,0.698954841067812,0.625055097741127,"PML",1,0.00704225352112676,1.26819248826291
"hsa04936","hsa04936","Alcoholic liver disease","1/48","142/8644",0.549438198202527,0.698954841067812,0.625055097741127,"C4A",1,0.00704225352112676,1.26819248826291
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/48","143/8644",0.551981948671391,0.698954841067812,0.625055097741127,"HESX1",1,0.00699300699300699,1.25932400932401
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/48","148/8644",0.564491260343761,0.698954841067812,0.625055097741127,"NDUFC2-KCTD14",1,0.00675675675675676,1.21677927927928
"hsa05226","hsa05226","Gastric cancer","1/48","149/8644",0.566951761697751,0.698954841067812,0.625055097741127,"JUP",1,0.00671140939597315,1.2086129753915
"hsa04145","hsa04145","Phagosome","1/48","152/8644",0.574251881464394,0.698954841067812,0.625055097741127,"HLA-DRB4",1,0.00657894736842105,1.18475877192982
"hsa01240","hsa01240","Biosynthesis of cofactors","1/48","153/8644",0.57665837106516,0.698954841067812,0.625055097741127,"CMPK2",1,0.0065359477124183,1.17701525054466
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","1/48","155/8644",0.581431460711277,0.698954841067812,0.625055097741127,"NDUFC2-KCTD14",1,0.00645161290322581,1.16182795698925
"hsa05161","hsa05161","Hepatitis B","1/48","162/8644",0.597725932432327,0.710979266998452,0.63580819405544,"IRF7",1,0.00617283950617284,1.11162551440329
"hsa04310","hsa04310","Wnt signaling pathway","1/48","174/8644",0.624225998490279,0.734766019056266,0.65707999841082,"DAAM2",1,0.00574712643678161,1.03496168582375
"hsa05152","hsa05152","Tuberculosis","1/48","180/8644",0.636827208147163,0.739037217725455,0.660899607840183,"HLA-DRB4",1,0.00555555555555556,1.00046296296296
"hsa04360","hsa04360","Axon guidance","1/48","182/8644",0.640934932186678,0.739037217725455,0.660899607840183,"EPHB2",1,0.00549450549450549,0.989468864468864
"hsa05034","hsa05034","Alcoholism","1/48","188/8644",0.652987049762867,0.745328652759636,0.666525856217281,"MAOA",1,0.00531914893617021,0.957890070921986
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/48","194/8644",0.664642784516032,0.751046346503116,0.671639024353043,"IRF7",1,0.00515463917525773,0.928264604810996
"hsa05415","hsa05415","Diabetic cardiomyopathy","1/48","203/8644",0.681410988946452,0.756903529476477,0.67687693367249,"NDUFC2-KCTD14",1,0.00492610837438424,0.887110016420361
"hsa05203","hsa05203","Viral carcinogenesis","1/48","204/8644",0.683222654925669,0.756903529476477,0.67687693367249,"IRF7",1,0.00490196078431373,0.882761437908497
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","1/48","212/8644",0.697357373530899,0.765061972902831,0.684172793653207,"BST2",1,0.00471698113207547,0.849449685534591
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","1/48","223/8644",0.715788756398891,0.773802198524118,0.691988924623338,"NDUFC2-KCTD14",1,0.00448430493273543,0.807548579970105
"hsa05163","hsa05163","Human cytomegalovirus infection","1/48","225/8644",0.719019741991437,0.773802198524118,0.691988924623338,"CCL2",1,0.00444444444444444,0.80037037037037
"hsa04714","hsa04714","Thermogenesis","1/48","232/8644",0.730047459483069,0.778258140769687,0.69597374488952,"NDUFC2-KCTD14",1,0.00431034482758621,0.776221264367816
"hsa04144","hsa04144","Endocytosis","1/48","250/8644",0.756495099192168,0.798915385128178,0.714446921027527,"PML",1,0.004,0.720333333333333
"hsa04010","hsa04010","MAPK signaling pathway","1/48","301/8644",0.81840371001262,0.853791801288833,0.763521312750144,"HSPB1",1,0.00332225913621262,0.59828349944629
"hsa05016","hsa05016","Huntington disease","1/48","306/8644",0.82356908265914,0.853791801288833,0.763521312750144,"NDUFC2-KCTD14",1,0.00326797385620915,0.588507625272331
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","1/48","364/8644",0.873919776950782,0.891885638067714,0.797587529152311,"NDUFC2-KCTD14",1,0.00274725274725275,0.494734432234432
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/48","367/8644",0.876100051553241,0.891885638067714,0.797587529152311,"P2RY6",1,0.00272479564032698,0.490690281562216
"hsa05010","hsa05010","Alzheimer disease","1/48","384/8644",0.887775089639929,0.895701652940285,0.801000080878131,"NDUFC2-KCTD14",1,0.00260416666666667,0.468967013888889
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","1/48","476/8644",0.934546723574992,0.934546723574992,0.835738103988814,"NDUFC2-KCTD14",1,0.00210084033613445,0.378326330532213
