"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa04612","hsa04612","Antigen processing and presentation","19/375","78/8644",5.22604609430686e-10,1.28038129310518e-08,1.06813047366096e-08,"CD4/HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/KLRC1/HLA-DQA1/CD8B/CD8A/KIR3DL2/IFNG/KLRC3/KIR2DL3/KLRC4/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",19,0.243589743589744,5.61490598290598
"hsa04672","hsa04672","Intestinal immune network for IgA production","15/375","49/8644",1.12388747325907e-09,2.54171474721666e-08,2.12037069853735e-08,"HLA-DPA1/HLA-DMA/HLA-DPB1/CD40LG/ITGB7/HLA-DMB/HLA-DRB1/CD28/ICOS/HLA-DQA1/IL4/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",15,0.306122448979592,7.05632653061225
"hsa04514","hsa04514","Cell adhesion molecules","25/375","158/8644",1.55089648028184e-08,3.25688260859186e-07,2.71698405944111e-07,"CD4/HLA-DPA1/HLA-DMA/CD2/CD6/HLA-DPB1/CD40LG/ITGB7/HLA-DMB/TIGIT/HLA-DRB1/CD28/ICOS/NECTIN3/NLGN2/HLA-DQA1/NCAM1/CD8B/CD8A/CNTNAP1/HLA-DRB5/SIGLEC1/HLA-DQA2/HLA-DRB3/HLA-DRB4",25,0.158227848101266,3.64725738396624
"hsa05416","hsa05416","Viral myocarditis","15/375","67/8644",1.20534342899971e-07,2.36247312083944e-06,1.97084223829427e-06,"HLA-DPA1/HLA-DMA/FYN/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/CD28/LAMA2/HLA-DQA1/PRF1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",15,0.223880597014925,5.16059701492537
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","28/375","222/8644",3.14414276222346e-07,5.77736232558561e-06,4.81963989209255e-06,"IL1R2/TP53/CD4/HLA-DPA1/HLA-DMA/CD3E/HLA-DPB1/SMAD3/HLA-DMB/LCK/NFATC2/CD3G/HLA-DRB1/TGFB3/CD3D/ADCY9/IL2RB/MAD1L1/IL2RA/ETS1/MSX2/HLA-DQA1/NRP1/HLA-DRB5/EGR2/HLA-DQA2/HLA-DRB3/HLA-DRB4",28,0.126126126126126,2.90729129129129
"hsa05340","hsa05340","Primary immunodeficiency","11/375","38/8644",3.70070002949333e-07,6.40003416865316e-06,5.33909044502752e-06,"CD4/ADA/CD3E/CD40LG/LCK/CD3D/IL7R/ZAP70/ICOS/CD8B/CD8A",11,0.289473684210526,6.67256140350877
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","20/375","132/8644",8.97957137127181e-07,1.4666633239744e-05,1.22353223947739e-05,"FYN/CD244/CD247/LCK/PLCG1/NFATC2/SH2D1A/ZAP70/NCR3/KLRK1/KLRC1/FASLG/SH2D1B/PRF1/GZMB/KIR3DL2/IFNG/KLRC3/KLRC4-KLRK1/KIR2DL3",20,0.151515151515152,3.49252525252525
"hsa05323","hsa05323","Rheumatoid arthritis","16/375","93/8644",2.03969751058713e-06,3.15616351638219e-05,2.63296132945596e-05,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/ATP6V0E2/HLA-DRB1/TGFB3/IL23A/CD28/HLA-DQA1/IFNG/CCL2/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",16,0.172043010752688,3.96570609318996
"hsa05140","hsa05140","Leishmaniasis","14/375","77/8644",4.55177286050313e-06,6.6911061049396e-05,5.58191092893279e-05,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/TGFB3/MAPK11/HLA-DQA1/IL4/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",14,0.181818181818182,4.1910303030303
"hsa05145","hsa05145","Toxoplasmosis","17/375","111/8644",5.13744469155177e-06,7.19242256817248e-05,6.00012337409305e-05,"HLA-DPA1/HLA-DMA/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/BCL2/TGFB3/CCR5/MAPK11/LAMA2/HLA-DQA1/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",17,0.153153153153153,3.53028228228228
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","16/375","100/8644",5.45782266129583e-06,7.29363573827716e-05,6.08455827790397e-05,"IL18R1/IL24/CSF1R/CCR5/IL2RB/CX3CR1/CCR7/IL2RA/XCL2/CXCR5/CCR6/XCL1/CXCR3/CCL23/CCL2/CCR3",16,0.16,3.68810666666667
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","14/375","89/8644",2.57395644519217e-05,0.000329018780385434,0.000274476820013627,"CD4/PRKCQ/CD3E/CD247/LCK/PLCG1/NFATC2/RASGRP1/CD3G/CD3D/ZAP70/MAPK11/CD28/IFNG",14,0.157303370786517,3.62594756554307
"hsa04360","hsa04360","Axon guidance","19/375","182/8644",0.000333211398157706,0.0040818396274319,0.00340518665661165,"FYN/PLCG1/CAMK2D/NFATC2/SEMA4C/ABLIM1/PTCH1/PLXNB2/EPHA1/PLXNA1/ROBO3/SRGAP3/EPHA4/TRPC1/BUB1B-PAK6/EPHB2/NRP1/NTN4/EPHB3",19,0.104395604395604,2.40638827838828
"hsa05169","hsa05169","Epstein-Barr virus infection","19/375","202/8644",0.00120580994440152,0.0141803249461619,0.0118296301913918,"TP53/HLA-DPA1/HLA-DMA/CD3E/HLA-DPB1/RUNX3/CD247/TRAF5/HLA-DMB/CD3G/HLA-DRB1/BCL2/CD3D/MAPK11/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",19,0.0940594059405941,2.16813201320132
"hsa05144","hsa05144","Malaria","8/375","50/8644",0.0012623222545047,0.0142739516470916,0.0119077362469472,"CD40LG/CD81/KLRB1/TGFB3/KLRK1/IFNG/KLRC4-KLRK1/CCL2",8,0.16,3.68810666666667
"hsa05217","hsa05217","Basal cell carcinoma","9/375","63/8644",0.00146608415160651,0.0159640274286042,0.01331764550972,"TP53/WNT10B/TCF7/LEF1/PTCH1/WNT7A/WNT10A/WNT1/AXIN2",9,0.142857142857143,3.29295238095238
"hsa04064","hsa04064","NF-kappa B signaling pathway","12/375","104/8644",0.00174917786152238,0.0183663675459849,0.0153217459298764,"PRKCQ/CD40LG/TRAF5/LCK/PLCG1/BCL2/ZAP70/CARD11/EDARADD/EDA2R/EDAR/EDA",12,0.115384615384615,2.65969230769231
"hsa05226","hsa05226","Gastric cancer","15/375","149/8644",0.00199158095570991,0.0201905103785763,0.0168434977379458,"TP53/SMAD3/WNT10B/TCF7/BCL2/TGFB3/ERBB2/LEF1/WNT7A/ABCB1/WNT10A/WNT1/AXIN2/REG4/JUP",15,0.100671140939597,2.32053691275168
"hsa05322","hsa05322","Systemic lupus erythematosus","14/375","137/8644",0.00241930896138065,0.0237092278215304,0.0197789118597085,"HLA-DPA1/HLA-DMA/MACROH2A2/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/CD28/HLA-DQA1/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",14,0.102189781021898,2.35554257907543
"hsa05150","hsa05150","Staphylococcus aureus infection","11/375","96/8644",0.00284038720904072,0.0269378657889669,0.0224723334365531,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/FPR3/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",11,0.114583333333333,2.64122222222222
"hsa05142","hsa05142","Chagas disease","11/375","102/8644",0.00455438074179966,0.0418433730652844,0.0349069313433987,"CD3E/CD247/ACE/CD3G/TGFB3/CD3D/MAPK11/PPP2R2B/FASLG/IFNG/CCL2",11,0.107843137254902,2.48585620915033
"hsa05152","hsa05152","Tuberculosis","16/375","180/8644",0.00501780129177925,0.0447040478722151,0.0372933875912142,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/CAMK2D/HLA-DRB1/BCL2/TGFB3/IL23A/MAPK11/HLA-DQA1/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",16,0.0888888888888889,2.04894814814815
"hsa04010","hsa04010","MAPK signaling pathway","23/375","301/8644",0.00584855877540094,0.0505728317637611,0.0421892939525826,"TP53/CDC25B/CACNB1/MAP4K1/MRAS/RASGRP1/TGFB3/CSF1R/ERBB2/RASGRF2/MAPK11/FLT3LG/CACNA2D3/CACNA2D2/CACNA1H/FASLG/PDGFD/CACNA1I/PDGFRB/NR4A1/DUSP2/DUSP4/JMJD7-PLA2G4B",23,0.0764119601328904,1.76134662236988
"hsa04145","hsa04145","Phagosome","14/375","152/8644",0.0061875273424488,0.05197522967657,0.0433592141591149,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/ATP6V0E2/HLA-DRB1/HLA-DQA1/SFTPD/TUBB4A/MARCO/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",14,0.0921052631578947,2.12308771929825
"hsa04020","hsa04020","Calcium signaling pathway","20/375","253/8644",0.00685486747412057,0.055981417705318,0.0467012901014647,"TPCN1/PLCG1/CAMK2D/CAMK1/NFATC2/MCOLN2/ITPR3/RYR1/ERBB2/ADCY9/CAMK4/NOS3/CYSLTR2/CACNA1H/PDGFD/CACNA1I/PDGFRB/MCOLN3/P2RX6/HTR6",20,0.0790513833992095,1.82218708827404
"hsa05164","hsa05164","Influenza A","15/375","171/8644",0.0073128290885299,0.0581073446493997,0.0484747987945225,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/TLR7/HLA-DQA1/FASLG/TLR3/IFNG/CCL2/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",15,0.087719298245614,2.02198830409357
"hsa04390","hsa04390","Hippo signaling pathway","14/375","157/8644",0.00817652415263501,0.0632604763388077,0.0527736877441539,"SMAD3/DLG3/WNT10B/TCF7/TGFB3/LEF1/AMOT/LLGL2/PPP2R2B/WNT7A/PATJ/WNT10A/WNT1/AXIN2",14,0.089171974522293,2.05547346072187
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","13/375","143/8644",0.00910006361668595,0.0686004795719403,0.0572284702479845,"ACVR2A/SMAD3/WNT10B/TCF7/ACVR2B/MAPK11/WNT7A/ID3/WNT10A/WNT1/AXIN2/ACVR1C/BMI1",13,0.0909090909090909,2.09551515151515
"hsa04925","hsa04925","Aldosterone synthesis and secretion","10/375","98/8644",0.00979486009434293,0.0719922216934205,0.0600579579468922,"CAMK2D/CAMK1/ITPR3/ADCY9/ATP1A3/CAMK4/DAGLA/CACNA1H/CACNA1I/NR4A1",10,0.102040816326531,2.35210884353742
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","9/375","84/8644",0.0102880683966404,0.073772978258836,0.0615435156974894,"CACNB1/ITGB7/TCF7/CACNA2D3/ITGA3/LEF1/CACNA2D2/LAMA2/JUP",9,0.107142857142857,2.46971428571429
"hsa04630","hsa04630","JAK-STAT signaling pathway","14/375","166/8644",0.0130047939689052,0.0910335577823365,0.0759427818234314,"IL21R/IL11RA/BCL2/IL7R/IL24/IL23A/IL2RB/IL2RA/IL12RB2/PDGFRB/IL4/PRLR/IFNG/IL5RA",14,0.0843373493975904,1.94403212851406
"hsa00590","hsa00590","Arachidonic acid metabolism","7/375","61/8644",0.0158802997945901,0.105255865417949,0.0878074351678561,"HPGD/EPHX2/CYP2E1/CBR3/ALOX15/JMJD7-PLA2G4B/PTGDS",7,0.114754098360656,2.64515846994536
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis","4/375","23/8644",0.0160394005488301,0.105255865417949,0.0878074351678561,"B4GAT1/CHST10/LARGE2/B3GAT1",4,0.173913043478261,4.0088115942029
"hsa04921","hsa04921","Oxytocin signaling pathway","13/375","154/8644",0.0162472223184041,0.105255865417949,0.0878074351678561,"CACNB1/CAMK2D/CAMK1/NFATC2/NPR2/ITPR3/RYR1/ADCY9/CACNA2D3/CAMK4/NOS3/CACNA2D2/JMJD7-PLA2G4B",13,0.0844155844155844,1.9458354978355
"hsa05205","hsa05205","Proteoglycans in cancer","16/375","205/8644",0.0164686047932846,0.105255865417949,0.0878074351678561,"TP53/PLCG1/CAMK2D/WNT10B/MRAS/TIAM1/ITPR3/TFAP4/ERBB2/MAPK11/PTCH1/WNT7A/FASLG/WNT10A/WNT1/ANK3",16,0.0780487804878049,1.79907642276423
"hsa04934","hsa04934","Cushing syndrome","13/375","155/8644",0.0170638000713913,0.106739515340192,0.0890451381105076,"CAMK2D/WNT10B/TCF7/ITPR3/ADCY9/LEF1/CACNA1H/WNT7A/CACNA1I/WNT10A/WNT1/NR4A1/AXIN2",13,0.0838709677419355,1.93328172043011
"hsa04148","hsa04148","Efferocytosis","13/375","156/8644",0.0179111580647234,0.109705843146431,0.0915197330938718,"ARG1/CAMK2D/SIRPG/NFATC2/ANO9/MAPK11/CX3CR1/ATP8A2/P2RY6/DUSP2/DUSP4/AXL/ALOX15",13,0.0833333333333333,1.92088888888889
"hsa04350","hsa04350","TGF-beta signaling pathway","10/375","108/8644",0.0185334600479749,0.11120076028785,0.0927668354710667,"ACVR2A/SMAD3/ACVR2B/TGFB3/NOG/ID3/IFNG/ACVR1C/GREM2/NBL1",10,0.0925925925925926,2.13432098765432
"hsa04310","hsa04310","Wnt signaling pathway","14/375","174/8644",0.0189332772222904,0.111327670067067,0.0928727072167085,"DAAM2/TP53/SMAD3/CAMK2D/WNT10B/TCF7/NFATC2/TLE2/LEF1/WNT7A/WNT10A/WNT1/LGR6/AXIN2",14,0.0804597701149425,1.85465134099617
"hsa04062","hsa04062","Chemokine signaling pathway","15/375","192/8644",0.0196898079305472,0.113505951599625,0.0946898915958206,"PLCG1/TIAM1/ADCY9/CCR5/CX3CR1/CCR7/XCL2/ITK/CXCR5/CCR6/XCL1/CXCR3/CCL23/CCL2/CCR3",15,0.078125,1.80083333333333
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","9/375","97/8644",0.0245150043568593,0.138595433343388,0.115620250515608,"CACNB1/ITGB7/ACE/TGFB3/TPM2/CACNA2D3/ITGA3/CACNA2D2/LAMA2",9,0.0927835051546392,2.13872164948454
"hsa00604","hsa00604","Glycosphingolipid biosynthesis - ganglio series","3/375","15/8644",0.0249848910448964,0.138595433343388,0.115620250515608,"ST3GAL5/ST6GALNAC6/ST8SIA1",3,0.2,4.61013333333333
"hsa04072","hsa04072","Phospholipase D signaling pathway","12/375","148/8644",0.027082768913715,0.146043207698654,0.12183339560969,"LPAR6/FYN/PLCG1/MRAS/ADCY9/PLPP1/PDGFD/PDGFRB/FCER1A/MS4A2/DGKK/JMJD7-PLA2G4B",12,0.0810810810810811,1.86897297297297
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","7/375","68/8644",0.0273210082429455,0.146043207698654,0.12183339560969,"FYN/PLCG1/MAPK11/IL4/FCER1A/MS4A2/JMJD7-PLA2G4B",7,0.102941176470588,2.37286274509804
"hsa04974","hsa04974","Protein digestion and absorption","9/375","103/8644",0.0344132181399471,0.177499756721832,0.148075343058313,"XPNPEP2/KCNN4/ATP1A3/DPP4/COL6A2/COL5A2/CPA3/COL6A1/COL5A3",9,0.087378640776699,2.0141359223301
"hsa05414","hsa05414","Dilated cardiomyopathy","9/375","103/8644",0.0344132181399471,0.177499756721832,0.148075343058313,"CACNB1/ITGB7/TGFB3/ADCY9/TPM2/CACNA2D3/ITGA3/CACNA2D2/LAMA2",9,0.087378640776699,2.0141359223301
"hsa04071","hsa04071","Sphingolipid signaling pathway","10/375","121/8644",0.0370989100121238,0.185505143323052,0.154753664139889,"TP53/FYN/BCL2/MAPK11/NOS3/PPP2R2B/S1PR5/FCER1A/SPTSSB/MS4A2",10,0.0826446280991736,1.90501377410468
"hsa05162","hsa05162","Measles","11/375","138/8644",0.03722722263966,0.185505143323052,0.154753664139889,"TP53/CD3E/SLAMF1/CD3G/BCL2/CD3D/CD28/IL2RB/IL2RA/TLR7/FASLG",11,0.0797101449275362,1.83737198067633
"hsa04151","hsa04151","PI3K-Akt signaling pathway","23/375","359/8644",0.0390357212205777,0.191275033980831,0.159567070954291,"TP53/LPAR6/RPTOR/ITGB7/BCL2/IL7R/CSF1R/ERBB2/IL2RB/FLT3LG/ITGA3/NOS3/IL2RA/PPP2R2B/LAMA2/FASLG/PDGFD/COL6A2/PDGFRB/IL4/NR4A1/PRLR/COL6A1",23,0.064066852367688,1.47678365831012
"hsa04370","hsa04370","VEGF signaling pathway","6/375","59/8644",0.0417404988654037,0.201175519121782,0.167826337111977,"PLCG1/NFATC2/MAPK11/SH2D2A/NOS3/JMJD7-PLA2G4B",6,0.101694915254237,2.34413559322034
"hsa00230","hsa00230","Purine metabolism","10/375","128/8644",0.0511674290406293,0.24263264738621,0.202411052062252,"ADA/ADA2/NPR2/FHIT/ADCY9/AK1/AK5/ENPP3/PDE9A/NT5E",10,0.078125,1.80083333333333
"hsa05215","hsa05215","Prostate cancer","8/375","97/8644",0.0591816809360331,0.276181177701488,0.230398189776035,"IL1R2/TP53/TCF7/BCL2/ERBB2/LEF1/PDGFD/PDGFRB",8,0.0824742268041237,1.90108591065292
"hsa00565","hsa00565","Ether lipid metabolism","5/375","50/8644",0.0643482049418216,0.295599566451493,0.246597561701389,"PLD4/PLPP1/PLA2G7/ENPP2/JMJD7-PLA2G4B",5,0.1,2.30506666666667
"hsa00220","hsa00220","Arginine biosynthesis","3/375","22/8644",0.0677391411054373,0.301747083106039,0.251725994857526,"ARG1/NOS3/GLS2",3,0.136363636363636,3.14327272727273
"hsa00340","hsa00340","Histidine metabolism","3/375","22/8644",0.0677391411054373,0.301747083106039,0.251725994857526,"MAOA/CARNS1/HDC",3,0.136363636363636,3.14327272727273
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","4/375","36/8644",0.0689464971629397,0.302541345759765,0.252388591342733,"GALNT6/GALNT12/GCNT4/ST6GALNAC1",4,0.111111111111111,2.56118518518519
"hsa04916","hsa04916","Melanogenesis","8/375","101/8644",0.0715223748416819,0.309229091227272,0.257967698732382,"CAMK2D/WNT10B/TCF7/ADCY9/LEF1/WNT7A/WNT10A/WNT1",8,0.0792079207920792,1.82579537953795
"hsa01232","hsa01232","Nucleotide metabolism","7/375","85/8644",0.0752299332665155,0.314638218695127,0.262480146637897,"ADA/NT5C3B/ADA2/AK1/AK5/ENPP3/NT5E",7,0.0823529411764706,1.89829019607843
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","3/375","23/8644",0.0754941021889284,0.314638218695127,0.262480146637897,"ATP1A3/SLC4A4/GLS2",3,0.130434782608696,3.00660869565217
"hsa05202","hsa05202","Transcriptional misregulation in cancer","13/375","193/8644",0.0765268927883095,0.314638218695127,0.262480146637897,"IL1R2/HPGD/TP53/MAF/ITGB7/CSF1R/BCL11B/IGFBP3/IL2RB/GZMB/PAX5/JUP/BMI1",13,0.0673575129533679,1.55263557858377
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","14/375","212/8644",0.077054257639623,0.314638218695127,0.262480146637897,"CD4/CD3E/CD247/TRAF5/PLCG1/NFATC2/CD3G/BCL2/CD3D/ITPR3/CCR5/MAPK11/FASLG/BUB1B-PAK6",14,0.0660377358490566,1.52221383647799
"hsa05210","hsa05210","Colorectal cancer","7/375","86/8644",0.0790127863997992,0.318215879473164,0.265464732965439,"TP53/SMAD3/TCF7/BCL2/TGFB3/LEF1/AXIN2",7,0.0813953488372093,1.87621705426357
"hsa05165","hsa05165","Human papillomavirus infection","20/375","331/8644",0.0832857111739332,0.33089187952887,0.276039412567944,"TP53/ITGB7/DLG3/WNT10B/TCF7/ATP6V0E2/ITGA3/LLGL2/PPP2R2B/LAMA2/WNT7A/FASLG/PATJ/TLR3/COL6A2/PDGFRB/WNT10A/WNT1/COL6A1/AXIN2",20,0.0604229607250755,1.39278952668681
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","4/375","40/8644",0.0937171676259181,0.367371297093599,0.306471579745108,"MAOA/SDSL/SARDH/SDS",4,0.1,2.30506666666667
"hsa05224","hsa05224","Breast cancer","10/375","147/8644",0.105710837507083,0.394956661917154,0.329484075283555,"TP53/WNT10B/TCF7/ERBB2/LEF1/WNT7A/WNT10A/WNT1/DLL1/AXIN2",10,0.0680272108843537,1.56807256235828
"hsa05213","hsa05213","Endometrial cancer","5/375","58/8644",0.105820830914506,0.394956661917154,0.329484075283555,"TP53/TCF7/ERBB2/LEF1/AXIN2",5,0.0862068965517241,1.98712643678161
"hsa01230","hsa01230","Biosynthesis of amino acids","6/375","75/8644",0.106127810515154,0.394956661917154,0.329484075283555,"ARG1/ENO2/PC/TKTL1/SDSL/SDS",6,0.08,1.84405333333333
"hsa05214","hsa05214","Glioma","6/375","75/8644",0.106127810515154,0.394956661917154,0.329484075283555,"TP53/PLCG1/CAMK2D/CAMK1/CAMK4/PDGFRB",6,0.08,1.84405333333333
"hsa04520","hsa04520","Adherens junction","7/375","93/8644",0.108513555720404,0.398787317272485,0.33267971687966,"FYN/SMAD3/TCF7/ERBB2/LEF1/HEG1/NECTIN3",7,0.0752688172043011,1.73499641577061
"hsa05225","hsa05225","Hepatocellular carcinoma","11/375","168/8644",0.113290458487528,0.411202404880658,0.343036735901158,"TP53/SMAD3/PLCG1/WNT10B/TCF7/TGFB3/LEF1/WNT7A/WNT10A/WNT1/AXIN2",11,0.0654761904761905,1.50926984126984
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/375","79/8644",0.127459322364859,0.455619453826901,0.380090700829459,"PLCG1/BCL2/ERBB2/PDGFD/PDGFRB/AXL",6,0.0759493670886076,1.7506835443038
"hsa04380","hsa04380","Osteoclast differentiation","9/375","135/8644",0.131926565467215,0.455619453826901,0.380090700829459,"FYN/LCK/SIRPG/NFATC2/ITPR3/CSF1R/MAPK11/CAMK4/IFNG",9,0.0666666666666667,1.53671111111111
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","10/375","154/8644",0.131982038776615,0.455619453826901,0.380090700829459,"CACNB1/CAMK2D/BCL2/ADCY9/TPM2/MAPK11/CACNA2D3/ATP1A3/CACNA2D2/PPP2R2B",10,0.0649350649350649,1.49679653679654
