"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","55/774","321/18614",2.17006427448331e-19,1.09120847402287e-16,9.11426995282989e-17,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/IL23A/PIEZO1/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/ETS1/TNFSF9/CD160/HLA-DQA1/CD27/XCL1/IL4I1/IL4/ANK3/SOX13/TMIGD2/IFNG/KLRC4-KLRK1/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",55
"GO:0002253","GO:0002253","activation of immune response","55/774","495/18614",3.10745173437121e-11,5.49011134799584e-09,4.58559093774779e-09,"RFTN1/GATA3/SKAP1/SARM1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/MFHAS1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/CMKLR1/GCSAM/ZAP70/CARD11/PVRIG/NCR3/FCRL3/KLRK1/PYHIN1/CD28/CCR7/FOXP3/ITK/CD160/TLR7/TRAT1/TXK/PLEKHA1/CD79B/THEMIS/TLR3/CD8B/CD8A/SUSD4/TMIGD2/KLRC3/FPR3/KLRC4-KLRK1/KLRC4/IGHE/IGHD/HLA-DRB3/C4BPA",55
"GO:0002449","GO:0002449","lymphocyte mediated immunity","54/774","300/18614",4.54670754860839e-20,2.91004538070425e-17,2.43060238314903e-17,"RFTN1/GATA3/IL21R/HLA-DPA1/HLA-DMA/CD2/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/KLRB1/RASGRP1/CD96/HLA-DRB1/IL7R/SH2D1A/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/IL2RB/FOXP3/CD160/TBX21/CCR6/KLRC1/HLA-DQA1/SH2D1B/CD27/XCL1/PRF1/CD8A/NKG7/IL4I1/IL4/GZMB/LAG3/SUSD4/CD1C/KLRC3/GZMM/IL18R1/ARG1/KLRC4-KLRK1/KLRC4/CLC/HLA-DRB5/HLA-DQA2/HLA-DRB3/C4BPA/HLA-DRB4",54
"GO:0030217","GO:0030217","T cell differentiation","54/774","300/18614",4.54670754860839e-20,2.91004538070425e-17,2.43060238314903e-17,"TP53/CD4/LY9/GATA3/CD2/ADA/CD3E/TESPA1/RUNX3/LCK/WNT10B/TCF7/RASGRP1/CD3G/HLA-DRB1/BCL2/IKZF3/CD3D/IL7R/SLAMF6/ERBB2/CRTAM/GPR18/RORC/IL23A/BCL11B/ZAP70/CARD11/CD28/LEF1/CAMK4/CCR7/IL2RA/FOXP3/ITK/EOMES/TNFSF9/TBX21/RORA/CCR6/KLRC1/DTX1/THEMIS/CD27/CD8A/IL4I1/IL4/WNT1/LAG3/ZNF683/SOX13/IFNG/IL18R1/BMI1",54
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","54/774","450/18614",2.37085333526414e-12,5.43170559632741e-10,4.536807795005e-10,"RFTN1/GATA3/SKAP1/PRKCQ/SARM1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/MFHAS1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/CMKLR1/GCSAM/ZAP70/CARD11/PVRIG/NCR3/FCRL3/KLRK1/CD28/CCR7/FOXP3/ITK/CD160/TLR7/TRAT1/TXK/PLEKHA1/KLRC1/CD79B/THEMIS/TLR3/CD8B/CD8A/TMIGD2/KLRC3/FPR3/KLRC4-KLRK1/KLRC4/IGHE/IGHD/HLA-DRB3",54
"GO:0002683","GO:0002683","negative regulation of immune system process","54/774","487/18614",5.1119577765707e-11,8.15045560620552e-09,6.80763157562830e-09,"SARM1/FYN/ADA/ZBTB46/MFHAS1/RUNX3/UBASH3A/SLAMF1/TIGIT/PLCG1/NLRC3/CD96/HLA-DRB1/TGFB3/IL7R/SH2D1A/ERBB2/CRTAM/GPR18/GCSAM/PVRIG/FCRL3/KLRK1/CX3CR1/MAD1L1/DPP4/IL2RA/FOXP3/CD160/TBX21/GPR55/KLRC1/SFTPD/GATA2/DTX1/XCL1/TLR3/ENPP3/IL4I1/IL4/DLL1/LAG3/SUSD4/ADTRP/AXL/IDO1/ALOX15/ARG1/KLRC4-KLRK1/CCL2/USP18/TMEM176B/C4BPA/NBL1",54
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","53/774","273/18614",2.82327617513849e-21,3.69115127137606e-18,3.08301758325123e-18,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/IL23A/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/ETS1/TNFSF9/CD160/HLA-DQA1/CD27/XCL1/IL4I1/IL4/SOX13/TMIGD2/IFNG/KLRC4-KLRK1/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",53
"GO:0002757","GO:0002757","immune response-activating signaling pathway","52/774","423/18614",2.42138164222704e-12,5.43170559632741e-10,4.536807795005e-10,"RFTN1/GATA3/SKAP1/SARM1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/MFHAS1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/CMKLR1/GCSAM/ZAP70/CARD11/PVRIG/NCR3/FCRL3/KLRK1/CD28/CCR7/FOXP3/ITK/CD160/TLR7/TRAT1/TXK/PLEKHA1/CD79B/THEMIS/TLR3/CD8B/CD8A/TMIGD2/KLRC3/FPR3/KLRC4-KLRK1/KLRC4/IGHE/IGHD/HLA-DRB3",52
"GO:0050870","GO:0050870","positive regulation of T cell activation","51/774","249/18614",1.33280007774211e-21,2.17812852705005e-18,1.81927210611798e-18,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/IL23A/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/TNFSF9/CD160/HLA-DQA1/CD27/XCL1/IL4I1/IL4/SOX13/TMIGD2/IFNG/KLRC4-KLRK1/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",51
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","51/774","329/18614",3.5154255659485e-16,1.20949141708449e-13,1.01022229421468e-13,"RFTN1/GATA3/SKAP1/PRKCQ/FYN/ADA/CD3E/HLA-DPB1/TESPA1/MFHAS1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/CMKLR1/GCSAM/ZAP70/CARD11/PVRIG/NCR3/FCRL3/KLRK1/CD28/CCR7/FOXP3/ITK/CD160/TRAT1/TXK/PLEKHA1/KLRC1/CD79B/THEMIS/CD8B/CD8A/TMIGD2/KLRC3/FPR3/KLRC4-KLRK1/KLRC4/IGHE/IGHD/HLA-DRB3",51
"GO:0002697","GO:0002697","regulation of immune effector process","50/774","384/18614",7.36997831528834e-13,2.09467601074086e-10,1.74956876528149e-10,"GATA3/CD244/CD40LG/CD81/SLAMF1/HLA-DMB/KLRB1/RASGRP1/CD96/HLA-DRB1/TGFB3/IL7R/SLAMF6/CRTAM/IL23A/NCR3/FCRL3/KLRK1/CD28/CX3CR1/FOXP3/CD160/TLR7/TBX21/KLRC1/SH2D1B/DNASE1L3/GATA2/XCL1/TLR3/ENPP3/IL4I1/IL4/LAG3/SUSD4/EPHB2/CD1C/ZNF683/IFNG/KLRC3/AXL/SPON2/IL18R1/ARG1/KLRC4-KLRK1/CD177/KLRC4/CLC/HLA-DRB3/C4BPA",50
"GO:0001819","GO:0001819","positive regulation of cytokine production","50/774","489/18614",4.35799856807691e-09,4.18944656463511e-07,3.49921649730882e-07,"RFTN1/CD4/LY9/GATA3/HLA-DPA1/PRKCQ/CD2/CD244/CD6/CD3E/HLA-DPB1/CD40LG/SMAD3/CD81/SLAMF1/TIGIT/RASGRP1/MCOLN2/TRIM32/SLAMF6/CSF1R/CRTAM/IL23A/CARD11/KLRK1/MAPK11/PYHIN1/CD28/CCR7/FOXP3/ITK/HEG1/IL12RB2/CD160/TLR7/TBX21/TXK/RORA/XCL1/TLR3/IL4/EPHB2/TMIGD2/IFNG/AKAP12/SPON2/IL18R1/IDO1/KLRC4-KLRK1/IGHD",50
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","49/774","302/18614",2.08627045979321e-16,7.57663888648235e-14,6.32835372803941e-14,"RFTN1/GATA3/SKAP1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/MFHAS1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/CMKLR1/GCSAM/ZAP70/CARD11/PVRIG/NCR3/FCRL3/KLRK1/CD28/CCR7/FOXP3/ITK/CD160/TRAT1/TXK/PLEKHA1/CD79B/THEMIS/CD8B/CD8A/TMIGD2/KLRC3/FPR3/KLRC4-KLRK1/KLRC4/IGHE/IGHD/HLA-DRB3",49
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","47/774","311/18614",1.40859154644197e-14,4.18543769958688e-12,3.49586811071506e-12,"RFTN1/CD4/LY9/GATA3/IL21R/HLA-DPA1/PRKCQ/HLA-DMA/ADA/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/HLA-DRB1/IL7R/SLAMF6/RORC/IL23A/CD28/IL2RB/LEF1/FOXP3/TBX21/RORA/CCR6/KLRC1/HLA-DQA1/BACH2/CD27/XCL1/PRF1/CD8A/IL4I1/IL4/SUSD4/EPHB2/CD1C/GZMM/IL18R1/ARG1/CLC/HLA-DRB5/HLA-DQA2/HLA-DRB3/C4BPA/HLA-DRB4",47
"GO:0070661","GO:0070661","leukocyte proliferation","47/774","348/18614",9.70646979284846e-13,2.6437997098271e-10,2.20822187787303e-10,"TP53/HLA-DPA1/PRKCQ/FYN/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/ACE/RASGRP1/HLA-DRB1/BCL2/IKZF3/IL7R/CSF1R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/SH2D2A/CD28/CD180/LEF1/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/ENPP3/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/IL5RA/BMI1",47
"GO:1903706","GO:1903706","regulation of hemopoiesis","46/774","415/18614",1.44575703406814e-09,1.60184978503449e-07,1.33793786542577e-07,"CD4/GATA3/CD2/RARG/ADA/ZBTB46/ACVR2A/CD101/TESPA1/RUNX3/WNT10B/TCF7/RASGRP1/HLA-DRB1/IKZF3/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/LEF1/CAMK4/IL2RA/FOXP3/ETS1/TNFSF9/TBX21/GPR55/GATA2/DTX1/CD27/TLR3/RHEX/GPR171/IL4I1/IL4/DLL1/LAG3/ZNF683/SOX13/IFNG/AXL/TMEM176B",46
"GO:0032943","GO:0032943","mononuclear cell proliferation","44/774","313/18614",1.30848776325896e-12,3.28984019554764e-10,2.74782430284383e-10,"TP53/HLA-DPA1/PRKCQ/FYN/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/ACE/RASGRP1/HLA-DRB1/BCL2/IKZF3/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/SH2D2A/CD28/CD180/LEF1/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/BMI1",44
"GO:0046651","GO:0046651","lymphocyte proliferation","43/774","306/18614",2.39752976149166e-12,5.43170559632741e-10,4.536807795005e-10,"TP53/HLA-DPA1/PRKCQ/FYN/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/RASGRP1/HLA-DRB1/BCL2/IKZF3/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/SH2D2A/CD28/CD180/LEF1/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/BMI1",43
"GO:0050900","GO:0050900","leukocyte migration","42/774","393/18614",2.19282251803939e-08,1.88611589479256e-06,1.57536986164408e-06,"GATA3/FYN/ADA/CD81/ITGB7/SLAMF1/LCK/MCOLN2/CSF1R/PTPRO/CRTAM/GPR18/CMKLR1/IL23A/GCSAM/ZAP70/CCR5/KLRK1/CX3CR1/ITGA3/DPP4/CCR7/XCL2/CXCR5/TBX21/SMPD3/CCR6/ASB2/SFTPD/PDGFD/XCL1/GPR15/CXCR3/PLA2G7/IL4/MTUS1/ADTRP/KLRC4-KLRK1/CD177/CCL23/CCL2/NBL1",42
"GO:0061564","GO:0061564","axon development","42/774","479/18614",4.5286161698013e-06,0.000234948919857072,0.000196240034024723,"GATA3/AMIGO1/PRKCQ/FYN/ULK2/B4GAT1/APBB1/PLEKHG4/TIAM1/NPR2/TRIM32/BCL2/CSF1R/PTPRO/SEMA4C/ERBB2/BCL11B/NRP2/ARHGEF25/PTCH1/PLXNB2/TRIM46/PLXNA1/ROBO3/NOG/NEFL/AUTS2/WNT7A/KIF5C/EPHA4/NCAM1/ATP8A2/OLFM1/ANK3/CNTNAP1/C12orf57/LGR6/EPHB2/NRP1/EPHB3/LHX1/EGR2",42
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","41/774","201/18614",1.55559485791066e-17,6.24620354670114e-15,5.21711356355947e-15,"RFTN1/GATA3/SKAP1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/CD81/UBASH3A/CD247/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/BCL2/CD3D/SH2D1A/KCNN4/GCSAM/ZAP70/CARD11/PVRIG/FCRL3/CD28/CCR7/FOXP3/ITK/CD160/TRAT1/TXK/PLEKHA1/CD79B/THEMIS/CD8B/CD8A/TMIGD2/IGHE/IGHD/HLA-DRB3",41
"GO:0007409","GO:0007409","axonogenesis","41/774","427/18614",5.91799420779718e-07,3.71980078234328e-05,3.10694695909352e-05,"GATA3/AMIGO1/PRKCQ/FYN/ULK2/B4GAT1/APBB1/PLEKHG4/TIAM1/NPR2/BCL2/CSF1R/PTPRO/SEMA4C/ERBB2/BCL11B/NRP2/ARHGEF25/PTCH1/PLXNB2/TRIM46/PLXNA1/ROBO3/NOG/NEFL/AUTS2/WNT7A/KIF5C/EPHA4/NCAM1/ATP8A2/OLFM1/ANK3/CNTNAP1/C12orf57/LGR6/EPHB2/NRP1/EPHB3/LHX1/EGR2",41
"GO:0010720","GO:0010720","positive regulation of cell development","41/774","432/18614",8.01467956627674e-07,4.94263776648595e-05,4.12831607847839e-05,"CD4/GATA3/AMIGO1/ADA/ZBTB46/CD101/TESPA1/RUNX3/BIN1/WNT10B/ACE/RASGRP1/TIAM1/HLA-DRB1/TRIM32/BCL2/IL7R/IL23A/ZAP70/CX3CR1/LEF1/IL2RA/FOXP3/SOX8/PLXNB2/TNFSF9/PLXNA1/NEFL/NEURL1/EPHA4/CD27/IL4I1/IL4/ZNF365/EPHB2/SOX13/NRP1/IFNG/AXL/OLIG2/EGR2",41
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","40/774","319/18614",4.79269983876926e-10,5.69634160836994e-08,4.75784383994185e-08,"CD4/GATA3/CD2/ADA/ZBTB46/CD101/TESPA1/RUNX3/WNT10B/TCF7/RASGRP1/HLA-DRB1/IKZF3/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/LEF1/CAMK4/IL2RA/FOXP3/TNFSF9/TBX21/GPR55/GATA2/DTX1/CD27/TLR3/IL4I1/IL4/LAG3/ZNF683/SOX13/IFNG/AXL/TMEM176B",40
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","39/774","268/18614",8.57337364063781e-12,1.80787559641449e-09,1.51002000251234e-09,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/HLA-DRB1/BCL2/IKZF3/CSF1R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/ENPP3/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/IL5RA/BMI1",39
